2020/12/03 12:03:22,671 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
 -2020/12/03 12:03:22,686 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.context.annotation.internalPersistenceAnnotationProcessor'
 -2020/12/03 12:03:22,686 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor'
 -2020/12/03 12:03:22,686 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.context.internalConfigurationPropertiesBinder'
 -2020/12/03 12:03:22,686 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.context.internalConfigurationPropertiesBinderFactory'
 -2020/12/03 12:03:22,686 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.aop.config.internalAutoProxyCreator'
 -2020/12/03 12:03:22,718 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'dataSourceInitializerPostProcessor'
 -2020/12/03 12:03:22,718 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'persistenceExceptionTranslationPostProcessor'
 -2020/12/03 12:03:22,733 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'persistenceExceptionTranslationPostProcessor' via factory method to bean named 'environment'
 -2020/12/03 12:03:22,733 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'webServerFactoryCustomizerBeanPostProcessor'
 -2020/12/03 12:03:22,733 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'errorPageRegistrarBeanPostProcessor'
 -2020/12/03 12:03:22,733 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'dataSourceInitializedPublisher'
 -2020/12/03 12:03:22,733 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'projectingArgumentResolverBeanPostProcessor'
 -2020/12/03 12:03:22,733 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
 -2020/12/03 12:03:22,749 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration'
 -2020/12/03 12:03:22,765 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'transactionAttributeSource'
 -2020/12/03 12:03:22,765 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'transactionInterceptor'
 -2020/12/03 12:03:22,765 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'transactionInterceptor' via factory method to bean named 'transactionAttributeSource'
 -2020/12/03 12:03:22,780 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'org.springframework.transaction.config.internalTransactionAdvisor' via factory method to bean named 'transactionAttributeSource'
 -2020/12/03 12:03:22,780 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'org.springframework.transaction.config.internalTransactionAdvisor' via factory method to bean named 'transactionInterceptor'
